"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 9.71075446e-02, 1.51561274e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.29451283e-01, 1.51746056e+00, -6.18490915e-02, 0.00000000e+00, 6.40714755e-02, -6.00000000e+00, 0.00000000e+00, -1.82362370e+00, 6.87880042e-03, -9.71500983e-01, 3.64149315e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0152037280
           1, 1.30479267e-01, 2.00077894e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.63747791e-01, 2.00345726e+00, -7.93738596e-02, 0.00000000e+00, 6.52142346e-02, -6.00000000e+00, 0.00000000e+00, -2.05811408e+00, 1.12430442e-01, 1.14863888e-01, 3.40566111e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0260098919
           2, 1.54470466e-01, 2.32198855e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12192178e+00, 2.32541501e+00, -8.90896336e-02, 0.00000000e+00, 6.65250768e-02, -6.00000000e+00, 0.00000000e+00, -2.13769275e+00, 1.85937511e-01, 2.13022737e-01, 3.32611275e+00, 0.00000000e+00, 8.0000000000, 2.6224623527, 0.0338440236
           3, 1.64909350e-01, 2.44922434e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18953449e+00, 2.45304496e+00, -9.20076979e-02, 0.00000000e+00, 6.73312553e-02, -6.00000000e+00, 0.00000000e+00, -2.18707117e+00, 2.14408041e-01, 2.47872151e-01, 3.27676257e+00, 0.00000000e+00, 9.0000000000, 2.8740783018, 0.0425891714
           4, 1.66129519e-01, 2.45147800e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20005493e+00, 2.45541381e+00, -9.10297836e-02, 0.00000000e+00, 6.77670855e-02, -6.00000000e+00, 0.00000000e+00, -2.20705860e+00, 2.13881659e-01, 2.48896844e-01, 3.25666912e+00, 0.00000000e+00, 9.0000000000, 3.0422003269, 0.0512659483
           5, 1.62805196e-01, 2.39258763e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18360145e+00, 2.39649856e+00, -8.81801755e-02, 0.00000000e+00, 6.80456567e-02, -6.00000000e+00, 0.00000000e+00, -2.21736254e+00, 2.04033297e-01, 2.40195971e-01, 3.24627691e+00, 0.00000000e+00, 9.0000000000, 3.1130172055, 0.0603333924
           6, 1.58086407e-01, 2.31406745e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.15927334e+00, 2.31791528e+00, -8.46655216e-02, 0.00000000e+00, 6.83153842e-02, -6.00000000e+00, 0.00000000e+00, -2.22505461e+00, 1.96028904e-01, 2.33727534e-01, 3.23859457e+00, 0.00000000e+00, 9.0000000000, 3.1501663997, 0.0742332730
           7, 1.53420061e-01, 2.23688578e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.13626009e+00, 2.24066865e+00, -8.12386230e-02, 0.00000000e+00, 6.85864529e-02, -6.00000000e+00, 0.00000000e+00, -2.23077468e+00, 1.93212274e-01, 2.32487008e-01, 3.23297285e+00, 0.00000000e+00, 9.0000000000, 3.1781875795, 0.0848317689
           8, 1.49107054e-01, 2.16932336e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11772248e+00, 2.17302551e+00, -7.84658075e-02, 0.00000000e+00, 6.87343605e-02, -6.00000000e+00, 0.00000000e+00, -2.23416519e+00, 1.95179713e-01, 2.35594026e-01, 3.22973807e+00, 0.00000000e+00, 9.0000000000, 3.1991865290, 0.0958004383
           9, 1.44804766e-01, 2.11295607e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10371196e+00, 2.11651729e+00, -7.68525410e-02, 0.00000000e+00, 6.85318392e-02, -6.00000000e+00, 0.00000000e+00, -2.23539270e+00, 2.00645425e-01, 2.41573900e-01, 3.22869732e+00, 0.00000000e+00, 9.0000000000, 3.2116988472, 0.1060959526
          10, 1.39925127e-01, 2.06638346e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09300345e+00, 2.06968976e+00, -7.68372859e-02, 0.00000000e+00, 6.77149857e-02, -6.00000000e+00, 0.00000000e+00, -2.23507186e+00, 2.08540313e-01, 2.49368417e-01, 3.22921801e+00, 0.00000000e+00, 9.0000000000, 3.2162409329, 0.1137631129
          11, 1.33897958e-01, 2.02735130e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08413039e+00, 2.03024140e+00, -7.87514651e-02, 0.00000000e+00, 6.60457602e-02, -6.00000000e+00, 0.00000000e+00, -2.23392332e+00, 2.18143512e-01, 2.58339824e-01, 3.23056566e+00, 0.00000000e+00, 9.0000000000, 3.2126787821, 0.1240035503
          12, 1.26316534e-01, 1.99373343e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07586420e+00, 1.99601523e+00, -8.27773329e-02, 0.00000000e+00, 6.33567819e-02, -6.00000000e+00, 0.00000000e+00, -2.23256060e+00, 2.28950171e-01, 2.68060057e-01, 3.23211550e+00, 0.00000000e+00, 9.0000000000, 3.1999596047, 0.1344704732
          13, 1.16962878e-01, 1.96380040e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.06734339e+00, 1.96526845e+00, -8.89508952e-02, 0.00000000e+00, 5.95594531e-02, -6.00000000e+00, 0.00000000e+00, -2.23143414e+00, 2.40562884e-01, 2.78165857e-01, 3.23340786e+00, 0.00000000e+00, 9.0000000000, 3.1849338676, 0.1450054792
          14, 1.05788198e-01, 1.93628411e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.05805565e+00, 1.93673482e+00, -9.71881241e-02, 0.00000000e+00, 5.46346462e-02, -6.00000000e+00, 0.00000000e+00, -2.23084708e+00, 2.52613575e-01, 2.88332161e-01, 3.23413272e+00, 0.00000000e+00, 9.0000000000, 3.1725665010, 0.1621346475
          15, 9.28704842e-02, 1.91029621e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.04775301e+00, 1.90953902e+00, -1.07318597e-01, 0.00000000e+00, 4.86157506e-02, -6.00000000e+00, 0.00000000e+00, -2.23096954e+00, 2.64748859e-01, 2.98265513e-01, 3.23411405e+00, 0.00000000e+00, 9.0000000000, 3.1661401667, 0.1754028363
          16, 7.83734749e-02, 1.88522471e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03636468e+00, 1.88308951e+00, -1.19115505e-01, 0.00000000e+00, 4.15724844e-02, -6.00000000e+00, 0.00000000e+00, -2.23185761e+00, 2.76653047e-01, 3.07706999e-01, 3.23328996e+00, 0.00000000e+00, 9.0000000000, 3.1665865742, 0.1824712951
          17, 6.25303255e-02, 1.86066905e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.02394111e+00, 1.85701231e+00, -1.32305099e-01, 0.00000000e+00, 3.36063662e-02, -6.00000000e+00, 0.00000000e+00, -2.23346819e+00, 2.88059871e-01, 3.16433859e-01, 3.23169773e+00, 0.00000000e+00, 9.0000000000, 3.1698258606, 0.1934035822
          18, 4.55920065e-02, 1.83633619e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.01058554e+00, 1.83104221e+00, -1.46607152e-01, 0.00000000e+00, 2.48277013e-02, -6.00000000e+00, 0.00000000e+00, -2.23566707e+00, 2.98745995e-01, 3.24260283e-01, 3.22946562e+00, 0.00000000e+00, 9.0000000000, 3.1757089341, 0.2070698951
          19, 2.77991649e-02, 1.81199930e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.96415569e-01, 1.80497878e+00, -1.61758624e-01, 0.00000000e+00, 1.53417084e-02, -6.00000000e+00, 0.00000000e+00, -2.23825865e+00, 3.08557459e-01, 3.31050779e-01, 3.22678495e+00, 0.00000000e+00, 9.0000000000, 3.1837586277, 0.2210578885
          20, 9.36273325e-03, 1.78747431e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.81538968e-01, 1.77866101e+00, -1.77530500e-01, 0.00000000e+00, 5.23796800e-03, -6.00000000e+00, 0.00000000e+00, -2.24101663e+00, 3.17407509e-01, 3.36724210e-01, 3.22388019e+00, 0.00000000e+00, 9.0000000000, 3.1932720802, 0.2299360104
          21, -9.54724888e-03, 1.76260851e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.66040675e-01, 1.75195479e+00, -1.93737707e-01, 0.00000000e+00, -5.41654533e-03, -6.00000000e+00, 0.00000000e+00, -2.24371882e+00, 3.25253483e-01, 3.41257279e-01, 3.22097448e+00, 0.00000000e+00, 9.0000000000, 3.2034276046, 0.2389228160
          22, -2.88056178e-02, 1.73727560e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.49977780e-01, 1.72474762e+00, -2.10242567e-01, 0.00000000e+00, -1.65809142e-02, -6.00000000e+00, 0.00000000e+00, -2.24617793e+00, 3.32091259e-01, 3.44684172e-01, 3.21825946e+00, 0.00000000e+00, 9.0000000000, 3.2134090018, 0.2461960283
          23, -4.83308428e-02, 1.71137385e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.33379788e-01, 1.69694681e+00, -2.26953360e-01, 0.00000000e+00, -2.82409614e-02, -6.00000000e+00, 0.00000000e+00, -2.24826779e+00, 3.37947363e-01, 3.47091778e-01, 3.21586883e+00, 0.00000000e+00, 9.0000000000, 3.2225195520, 0.2548475587
          24, -6.80782464e-02, 1.68482454e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.16253165e-01, 1.66847878e+00, -2.43817426e-01, 0.00000000e+00, -4.04067277e-02, -6.00000000e+00, 0.00000000e+00, -2.24993991e+00, 3.42871711e-01, 3.48609741e-01, 3.21386078e+00, 0.00000000e+00, 10.0000000000, 3.2302824280, 0.2652700174
          25, -8.80306861e-02, 1.65757009e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.98587730e-01, 1.63928803e+00, -2.60811699e-01, 0.00000000e+00, -5.31082739e-02, -6.00000000e+00, 0.00000000e+00, -2.25122751e+00, 3.46934259e-01, 3.49395277e-01, 3.21221265e+00, 0.00000000e+00, 10.0000000000, 3.2365070266, 0.2747929002
          26, -1.08187798e-01, 1.62957146e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.80363910e-01, 1.60933579e+00, -2.77931734e-01, 0.00000000e+00, -6.63903367e-02, -6.00000000e+00, 0.00000000e+00, -2.25223964e+00, 3.50217234e-01, 3.49615017e-01, 3.21082556e+00, 0.00000000e+00, 10.0000000000, 3.2413083943, 0.2871251791
          27, -1.28555733e-01, 1.60080494e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.61559431e-01, 1.57859783e+00, -2.95181171e-01, 0.00000000e+00, -8.03069314e-02, -6.00000000e+00, 0.00000000e+00, -2.25314397e+00, 3.52823480e-01, 3.49426929e-01, 3.20954054e+00, 0.00000000e+00, 10.0000000000, 3.2450875546, 0.2987356263
          28, -1.49137934e-01, 1.57125860e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.42155129e-01, 1.54706192e+00, -3.12562188e-01, 0.00000000e+00, -9.49162251e-02, -6.00000000e+00, 0.00000000e+00, -2.25414187e+00, 3.54857135e-01, 3.48963944e-01, 3.20816275e+00, 0.00000000e+00, 10.0000000000, 3.2484679304, 0.3076036073
