"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.578638508658444e+04, -1.952209972653610e+00, 2.233842905238359e-01
2, 8.250000000000000e-01, 2.410000000000000e-02, 9.768768994373344e+04, -1.282052115282001e+00, 1.728356985320452e-01
689, 8.225415635108477e-01, 2.436799320451974e-02, 1.016900611475436e+05, 1.286740501017242e-01, 1.581079143085243e-01
9, 8.225136226387016e-01, 2.515232043339546e-02, 9.915140873933343e+04, -7.661313526722943e-01, 2.627814494767952e-01
10, 8.200260471543273e-01, 2.539252192140721e-02, 9.903073685668988e+04, -8.086648843220611e-01, 2.662481425953822e-01
11, 8.175377580736038e-01, 2.562525225330303e-02, 9.905235642240953e+04, -8.010445798845540e-01, 2.673500814589630e-01
12, 8.150494056560841e-01, 2.585730326097809e-02, 9.905501676781591e+04, -8.001068810348929e-01, 2.674257487362106e-01
13, 8.125612684508878e-01, 2.609164615763166e-02, 9.904094736035787e+04, -8.050659615953381e-01, 2.673010707825951e-01
14, 8.100736416201473e-01, 2.633134667253036e-02, 9.901198816458214e+04, -8.152732844869253e-01, 2.672791346451476e-01
15, 8.075861413707953e-01, 2.657236021035633e-02, 9.899908220252706e+04, -8.198222824267523e-01, 2.673430285564424e-01
16, 8.050983005777557e-01, 2.680982890594723e-02, 9.901163638889517e+04, -8.153972757762593e-01, 2.673361088833021e-01
17, 8.026097807389289e-01, 2.704006176252642e-02, 9.906241638819037e+04, -7.974987176375996e-01, 2.670337979184894e-01
18, 8.001202193910897e-01, 2.725872822046140e-02, 9.914902006482494e+04, -7.669732949755226e-01, 2.662689123408394e-01
19, 7.976299103154193e-01, 2.746873691549538e-02, 9.922564588037934e+04, -7.399647949034803e-01, 2.650762652471015e-01
20, 7.951395052898186e-01, 2.767760814443504e-02, 9.927440769170049e+04, -7.227775927177449e-01, 2.636660540535920e-01
21, 7.926495256345669e-01, 2.789147908029706e-02, 9.930834838754327e+04, -7.108144275692531e-01, 2.629422264791938e-01
22, 7.901604087594338e-01, 2.811515430051675e-02, 9.925979018098635e+04, -7.279298646553332e-01, 2.622857351188136e-01
23, 7.876726363291976e-01, 2.835329770356289e-02, 9.920661878067844e+04, -7.466713261152431e-01, 2.620317766654051e-01
24, 7.851860140325140e-01, 2.860319469336427e-02, 9.915038294449339e+04, -7.664929172417628e-01, 2.622284438725449e-01
25, 7.826997620317609e-01, 2.885675982257701e-02, 9.911815939568637e+04, -7.778508351181257e-01, 2.625875489547468e-01
26, 7.802131791877395e-01, 2.910705011845795e-02, 9.910997271914233e+04, -7.807364142461211e-01, 2.629305570349323e-01
27, 7.777257587144731e-01, 2.934886602779452e-02, 9.913076165776871e+04, -7.734088830958672e-01, 2.629741577248004e-01
28, 7.752372122105796e-01, 2.957879021879723e-02, 9.917818517169138e+04, -7.566933940673995e-01, 2.627421886763802e-01
29, 7.727476520852741e-01, 2.979747054931257e-02, 9.922716740787188e+04, -7.394284981594308e-01, 2.622827698211808e-01
30, 7.702575079095536e-01, 3.000940587636148e-02, 9.926202355735953e+04, -7.271426606888980e-01, 2.617388432694004e-01
31, 7.677669507060569e-01, 3.021649307755715e-02, 9.929602867173255e+04, -7.151567897738709e-01, 2.611567025265286e-01
32, 7.652761288197965e-01, 3.042026510653761e-02, 9.932795551441127e+04, -7.039034526765826e-01, 2.605681856497505e-01
33, 7.627851335841417e-01, 3.062199299524906e-02, 9.935923389068454e+04, -6.928786822161573e-01, 2.599321086624328e-01
34, 7.602940584713866e-01, 3.082273681939956e-02, 9.938607765545940e+04, -6.834169907795266e-01, 2.592920971457243e-01
35, 7.578029760799381e-01, 3.102338956256240e-02, 9.940875070476151e+04, -6.754253622496538e-01, 2.586357421812180e-01
36, 7.553119492225100e-01, 3.122470825775355e-02, 9.942589810149884e+04, -6.693813748197671e-01, 2.580149427340508e-01
37, 7.528212255814778e-01, 3.142976408076715e-02, 9.941060015943846e+04, -6.747734801598612e-01, 2.575788407485327e-01
38, 7.503310575910006e-01, 3.164143081120371e-02, 9.938004565883716e+04, -6.855431042835430e-01, 2.574627493902458e-01
39, 7.478411460127478e-01, 3.185609749191510e-02, 9.935995430818577e+04, -6.926247547898311e-01, 2.574958285803805e-01
40, 7.453510873861987e-01, 3.206904880418379e-02, 9.935663505957444e+04, -6.937946989621641e-01, 2.575037015747761e-01
41, 7.428605835724842e-01, 3.227672410984248e-02, 9.937051841295043e+04, -6.889011973668766e-01, 2.574310501649790e-01
42, 7.403695259690530e-01, 3.247764941305998e-02, 9.939455830755657e+04, -6.804277933253793e-01, 2.572395054710103e-01
43, 7.378779354348607e-01, 3.267185674311956e-02, 9.941972635317720e+04, -6.715567469679588e-01, 2.569581522579252e-01
44, 7.353858827760212e-01, 3.286003884301895e-02, 9.944586649483000e+04, -6.623430633992459e-01, 2.566056217414732e-01
45, 7.328934441892304e-01, 3.304304157885514e-02, 9.947187250222907e+04, -6.531766584790544e-01, 2.561593048917384e-01
46, 7.304006867519286e-01, 3.322165420379598e-02, 9.949676787298711e+04, -6.444017225381159e-01, 2.556917579962595e-01
47, 7.279076751456945e-01, 3.339668112309027e-02, 9.952163089380044e+04, -6.356381890661461e-01, 2.552292403451327e-01
48, 7.254144906662131e-01, 3.356924602570246e-02, 9.954439798137137e+04, -6.276134146236062e-01, 2.547177963350752e-01
