"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -7.60778041e-01, 1.56161791e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.53433191e-01, 1.40578570e+00, -1.02039222e+00, 0.00000000e+00, -4.87172975e-01, -1.00000000e+01, 0.00000000e+00, -1.80966758e+00, 1.65720330e-02, -7.37109196e-01, 3.65544928e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0013360319
           1, -1.00270727e+00, 2.06103083e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.99084323e-01, 1.85560085e+00, -1.34536814e+00, 0.00000000e+00, -4.86507653e-01, -1.00000000e+01, 0.00000000e+00, -2.04432770e+00, 1.02887314e-01, 1.47983084e-01, 3.41954495e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0025293172
           2, -1.16435918e+00, 2.39161890e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.97919328e-01, 2.15309599e+00, -1.56197021e+00, 0.00000000e+00, -4.86849799e-01, -1.00000000e+01, 0.00000000e+00, -2.12409227e+00, 1.73871261e-01, 2.45215189e-01, 3.33977825e+00, 0.00000000e+00, 8.0000000000, 2.6229748931, 0.0037891305
           3, -1.23329864e+00, 2.52273215e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.40632812e-01, 2.27024612e+00, -1.65262990e+00, 0.00000000e+00, -4.88874190e-01, -1.00000000e+01, 0.00000000e+00, -2.17411081e+00, 2.01398976e-01, 2.78648310e-01, 3.28974890e+00, 0.00000000e+00, 9.0000000000, 2.8752553361, 0.0051386834
           4, -1.24417652e+00, 2.52530215e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.48016018e-01, 2.27088815e+00, -1.66378880e+00, 0.00000000e+00, -4.92684222e-01, -1.00000000e+01, 0.00000000e+00, -2.19501061e+00, 2.00207764e-01, 2.77763041e-01, 3.26871507e+00, 0.00000000e+00, 9.0000000000, 3.0456899553, 0.0064593671
           5, -1.22735641e+00, 2.46485275e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.38823955e-01, 2.21427789e+00, -1.63672729e+00, 0.00000000e+00, -4.97943096e-01, -1.00000000e+01, 0.00000000e+00, -2.20624772e+00, 1.89544744e-01, 2.66739348e-01, 3.25735110e+00, 0.00000000e+00, 9.0000000000, 3.1198634692, 0.0077910721
           6, -1.20210702e+00, 2.38413413e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.24928592e-01, 2.13917008e+00, -1.59784486e+00, 0.00000000e+00, -5.04211154e-01, -1.00000000e+01, 0.00000000e+00, -2.21480997e+00, 1.80531233e-01, 2.57776303e-01, 3.24875024e+00, 0.00000000e+00, 9.0000000000, 3.1604879716, 0.0091267542
           7, -1.17804518e+00, 2.30478034e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.11967090e-01, 2.06520015e+00, -1.56036894e+00, 0.00000000e+00, -5.11131219e-01, -1.00000000e+01, 0.00000000e+00, -2.22134142e+00, 1.76559764e-01, 2.54081786e-01, 3.24225948e+00, 0.00000000e+00, 9.0000000000, 3.1917970427, 0.0104385237
           8, -1.15903170e+00, 2.23538339e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.01751118e-01, 2.00015915e+00, -1.52959366e+00, 0.00000000e+00, -5.18493474e-01, -1.00000000e+01, 0.00000000e+00, -2.22551047e+00, 1.77261868e-01, 2.54883031e-01, 3.23818364e+00, 0.00000000e+00, 9.0000000000, 3.2158885891, 0.0117830988
           9, -1.14598982e+00, 2.17763082e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.94112700e-01, 1.94554867e+00, -1.50672128e+00, 0.00000000e+00, -5.26255326e-01, -1.00000000e+01, 0.00000000e+00, -2.22748310e+00, 1.81380284e-01, 2.58723360e-01, 3.23633201e+00, 0.00000000e+00, 9.0000000000, 3.2313612819, 0.0131343892
          10, -1.13855549e+00, 2.13013641e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.88087885e-01, 1.90006677e+00, -1.49115258e+00, 0.00000000e+00, -5.34498865e-01, -1.00000000e+01, 0.00000000e+00, -2.22783792e+00, 1.87888922e-01, 2.64538620e-01, 3.23610881e+00, 0.00000000e+00, 9.0000000000, 3.2387082875, 0.0144890855
          11, -1.13595018e+00, 2.09059814e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.82597366e-01, 1.86158158e+00, -1.48172111e+00, 0.00000000e+00, -5.43361328e-01, -1.00000000e+01, 0.00000000e+00, -2.22722917e+00, 1.96093693e-01, 2.71676289e-01, 3.23684731e+00, 0.00000000e+00, 9.0000000000, 3.2400315671, 0.0158383693
          12, -1.13735728e+00, 2.05684980e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.76773745e-01, 1.82810161e+00, -1.47724649e+00, 0.00000000e+00, -5.52960786e-01, -1.00000000e+01, 0.00000000e+00, -2.22620601e+00, 2.05533875e-01, 2.79710226e-01, 3.23798919e+00, 0.00000000e+00, 9.0000000000, 3.2332264029, 0.0171943918
          13, -1.14204101e+00, 2.02714210e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.70050409e-01, 1.79803191e+00, -1.47670037e+00, 0.00000000e+00, -5.63374916e-01, -1.00000000e+01, 0.00000000e+00, -2.22516481e+00, 2.15849546e-01, 2.88299798e-01, 3.23913130e+00, 0.00000000e+00, 9.0000000000, 3.2218207791, 0.0185133749
          14, -1.14937455e+00, 2.00017907e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.62137109e-01, 1.77020506e+00, -1.47924042e+00, 0.00000000e+00, -5.74635823e-01, -1.00000000e+01, 0.00000000e+00, -2.22437482e+00, 2.26709711e-01, 2.97143693e-01, 3.23999942e+00, 0.00000000e+00, 9.0000000000, 3.2102553601, 0.0198338887
          15, -1.15882648e+00, 1.97504179e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.52951116e-01, 1.74380836e+00, -1.48418371e+00, 0.00000000e+00, -5.86735172e-01, -1.00000000e+01, 0.00000000e+00, -2.22399484e+00, 2.37794477e-01, 3.05975833e-01, 3.24043044e+00, 0.00000000e+00, 9.0000000000, 3.2015080382, 0.0211646895
          16, -1.16994056e+00, 1.95107991e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.42543069e-01, 1.71828057e+00, -1.49096800e+00, 0.00000000e+00, -5.99637438e-01, -1.00000000e+01, 0.00000000e+00, -2.22408761e+00, 2.48811339e-01, 3.14562955e-01, 3.24035774e+00, 0.00000000e+00, 9.0000000000, 3.1973091811, 0.0224827638
          17, -1.18231938e+00, 1.92782560e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.31038045e-01, 1.69322999e+00, -1.49912069e+00, 0.00000000e+00, -6.13291667e-01, -1.00000000e+01, 0.00000000e+00, -2.22463241e+00, 2.59509979e-01, 3.22708102e-01, 3.23979865e+00, 0.00000000e+00, 9.0000000000, 3.1976506805, 0.0237988711
          18, -1.19560923e+00, 1.90494491e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.18599764e-01, 1.66838915e+00, -1.50823545e+00, 0.00000000e+00, -6.27634543e-01, -1.00000000e+01, 0.00000000e+00, -2.22554164e+00, 2.69693050e-01, 3.30248156e-01, 3.23883875e+00, 0.00000000e+00, 9.0000000000, 3.1996569449, 0.0251305488
          19, -1.20951163e+00, 1.88217692e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.05389709e-01, 1.64355293e+00, -1.51797303e+00, 0.00000000e+00, -6.42613148e-01, -1.00000000e+01, 0.00000000e+00, -2.22667699e+00, 2.79216951e-01, 3.37054356e-01, 3.23761615e+00, 0.00000000e+00, 9.0000000000, 3.2030080816, 0.0267237780
