"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -3.32800265e-01, 1.52365296e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.91790148e-01, 1.46250802e+00, -5.41612982e-01, 0.00000000e+00, -2.18422616e-01, -8.00000000e+00, 0.00000000e+00, -1.81873849e+00, 9.90243732e-03, -8.42295034e-01, 3.64637836e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0053154964
           1, -4.37295911e-01, 2.01111959e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.81882319e-01, 1.93068769e+00, -7.12933928e-01, 0.00000000e+00, -2.17439039e-01, -8.00000000e+00, 0.00000000e+00, -2.05335064e+00, 1.07278984e-01, 1.28410090e-01, 3.41046326e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0120513469
           2, -5.06217515e-01, 2.33374632e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.10471141e-01, 2.24058260e+00, -8.26085753e-01, 0.00000000e+00, -2.16911971e-01, -8.00000000e+00, 0.00000000e+00, -2.13305236e+00, 1.79708162e-01, 2.26106750e-01, 3.33077427e+00, 0.00000000e+00, 8.0000000000, 2.6228300165, 0.0171152984
           3, -5.35467604e-01, 2.46151416e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.65677088e-01, 2.36303618e+00, -8.72833028e-01, 0.00000000e+00, -2.17535862e-01, -8.00000000e+00, 0.00000000e+00, -2.18278840e+00, 2.07753530e-01, 2.60259506e-01, 3.28104409e+00, 0.00000000e+00, 9.0000000000, 2.8748885132, 0.0220141405
           4, -5.40271681e-01, 2.46369972e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.74637750e-01, 2.36453188e+00, -8.77894524e-01, 0.00000000e+00, -2.19292829e-01, -8.00000000e+00, 0.00000000e+00, -2.20326559e+00, 2.06896600e-01, 2.60360254e-01, 3.26044359e+00, 0.00000000e+00, 9.0000000000, 3.0443110612, 0.0272495621
           5, -5.33507941e-01, 2.40437149e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.61799598e-01, 2.30672236e+00, -8.62939715e-01, 0.00000000e+00, -2.21890811e-01, -8.00000000e+00, 0.00000000e+00, -2.21406689e+00, 1.96636444e-01, 2.50539326e-01, 3.24953266e+00, 0.00000000e+00, 9.0000000000, 3.1169341107, 0.0329612365
           6, -5.23234804e-01, 2.32527069e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.42663557e-01, 2.22982110e+00, -8.41757851e-01, 0.00000000e+00, -2.25021029e-01, -8.00000000e+00, 0.00000000e+00, -2.22222692e+00, 1.88110427e-01, 2.42859340e-01, 3.24135830e+00, 0.00000000e+00, 9.0000000000, 3.1559366204, 0.0388181503
           7, -5.13529272e-01, 2.24749859e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.24653211e-01, 2.15415662e+00, -8.21322988e-01, 0.00000000e+00, -2.28489253e-01, -8.00000000e+00, 0.00000000e+00, -2.22838707e+00, 1.84705629e-01, 2.40417904e-01, 3.23526802e+00, 0.00000000e+00, 9.0000000000, 3.1857250252, 0.0454782680
           8, -5.06168288e-01, 2.17942221e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.10258754e-01, 2.08776721e+00, -8.04559240e-01, 0.00000000e+00, -2.32248844e-01, -8.00000000e+00, 0.00000000e+00, -2.23220398e+00, 1.86041478e-01, 2.42385077e-01, 3.23157705e+00, 0.00000000e+00, 9.0000000000, 3.2083989396, 0.0520666704
           9, -5.01786444e-01, 2.12266152e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.99422115e-01, 2.03216874e+00, -7.92320478e-01, 0.00000000e+00, -2.36394941e-01, -8.00000000e+00, 0.00000000e+00, -2.23384131e+00, 1.90830797e-01, 2.47302044e-01, 3.23009547e+00, 0.00000000e+00, 9.0000000000, 3.2225288783, 0.0597860664
          10, -5.00499799e-01, 2.07583889e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.91046712e-01, 1.98598086e+00, -7.84529905e-01, 0.00000000e+00, -2.41107247e-01, -8.00000000e+00, 0.00000000e+00, -2.23389483e+00, 1.98025980e-01, 2.54110407e-01, 3.23020962e+00, 0.00000000e+00, 9.0000000000, 3.2286092102, 0.0659841810
          11, -5.02211088e-01, 2.03668693e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.83854100e-01, 1.94697176e+00, -7.80775640e-01, 0.00000000e+00, -2.46582368e-01, -8.00000000e+00, 0.00000000e+00, -2.23305690e+00, 2.06925034e-01, 2.62168509e-01, 3.23121381e+00, 0.00000000e+00, 9.0000000000, 3.2288081648, 0.0717149789
          12, -5.06718661e-01, 2.00309257e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.76795888e-01, 1.91307701e+00, -7.80563915e-01, 0.00000000e+00, -2.52968169e-01, -8.00000000e+00, 0.00000000e+00, -2.23191413e+00, 2.17051413e-01, 2.71050042e-01, 3.23251080e+00, 0.00000000e+00, 9.0000000000, 3.2194771785, 0.0772966530
          13, -5.13764224e-01, 1.97333176e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.69156259e-01, 1.88262527e+00, -7.83399006e-01, 0.00000000e+00, -2.60353699e-01, -8.00000000e+00, 0.00000000e+00, -2.23089244e+00, 2.28020959e-01, 2.80403068e-01, 3.23366666e+00, 0.00000000e+00, 9.0000000000, 3.2067949345, 0.0839817603
          14, -5.23058985e-01, 1.94613332e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.60532472e-01, 1.85439794e+00, -7.88818019e-01, 0.00000000e+00, -2.68768321e-01, -8.00000000e+00, 0.00000000e+00, -2.23027966e+00, 2.39477650e-01, 2.89912770e-01, 3.23438738e+00, 0.00000000e+00, 9.0000000000, 3.1954987449, 0.0891569864
          15, -5.34297953e-01, 1.92060090e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.50757971e-01, 1.82754984e+00, -7.96394186e-01, 0.00000000e+00, -2.78193118e-01, -8.00000000e+00, 0.00000000e+00, -2.23024113e+00, 2.51086110e-01, 2.99296183e-01, 3.23450253e+00, 0.00000000e+00, 9.0000000000, 3.1887427896, 0.1036499408
          16, -5.47172371e-01, 1.89610420e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.39819910e-01, 1.80149976e+00, -8.05734028e-01, 0.00000000e+00, -2.88577164e-01, -8.00000000e+00, 0.00000000e+00, -2.23083654e+00, 2.62537928e-01, 3.08303262e-01, 3.23394738e+00, 0.00000000e+00, 9.0000000000, 3.1883184855, 0.1142236156
          17, -5.61361164e-01, 1.87221911e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.27809673e-01, 1.77587243e+00, -8.16460574e-01, 0.00000000e+00, -2.99837322e-01, -8.00000000e+00, 0.00000000e+00, -2.23203285e+00, 2.73572365e-01, 3.16722670e-01, 3.23275019e+00, 0.00000000e+00, 9.0000000000, 3.1905047905, 0.1222313054
          18, -5.76559435e-01, 1.84863241e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.14861297e-01, 1.75040008e+00, -8.28228303e-01, 0.00000000e+00, -3.11884306e-01, -8.00000000e+00, 0.00000000e+00, -2.23371319e+00, 2.83977371e-01, 3.24376656e-01, 3.23102389e+00, 0.00000000e+00, 9.0000000000, 3.1949021064, 0.1279075533
          19, -5.92495273e-01, 1.82509995e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.01114880e-01, 1.72487880e+00, -8.40733970e-01, 0.00000000e+00, -3.24637164e-01, -8.00000000e+00, 0.00000000e+00, -2.23570622e+00, 2.93604637e-01, 3.31131711e-01, 3.22893772e+00, 0.00000000e+00, 9.0000000000, 3.2010888202, 0.1336028411
          20, -6.08941695e-01, 1.80142459e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.86694090e-01, 1.69914494e+00, -8.53725362e-01, 0.00000000e+00, -3.38033409e-01, -8.00000000e+00, 0.00000000e+00, -2.23781599e+00, 3.02362371e-01, 3.36904420e-01, 3.22668780e+00, 0.00000000e+00, 9.0000000000, 3.2084423583, 0.1405370268
          21, -6.25722636e-01, 1.77744531e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.71694624e-01, 1.67306357e+00, -8.67005721e-01, 0.00000000e+00, -3.52034819e-01, -8.00000000e+00, 0.00000000e+00, -2.23985076e+00, 3.10205792e-01, 3.41664786e-01, 3.22446898e+00, 0.00000000e+00, 9.0000000000, 3.2162449943, 0.1491919429
          22, -6.42714089e-01, 1.75303209e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.56180103e-01, 1.64652319e+00, -8.80434152e-01, 0.00000000e+00, -3.66629962e-01, -8.00000000e+00, 0.00000000e+00, -2.24165036e+00, 3.17124535e-01, 3.45437639e-01, 3.22244749e+00, 0.00000000e+00, 9.0000000000, 3.2237882536, 0.1545613569
          23, -6.59839745e-01, 1.72808357e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.40183658e-01, 1.61943403e+00, -8.93920978e-01, 0.00000000e+00, -3.81833238e-01, -8.00000000e+00, 0.00000000e+00, -2.24310540e+00, 3.23139882e-01, 3.48297661e-01, 3.22074136e+00, 0.00000000e+00, 10.0000000000, 3.2304744374, 0.1625793300
          24, -6.77062171e-01, 1.70252459e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.23713534e-01, 1.59172689e+00, -9.07418674e-01, 0.00000000e+00, -3.97681288e-01, -8.00000000e+00, 0.00000000e+00, -2.24417133e+00, 3.28298139e-01, 3.50360400e-01, 3.21940544e+00, 0.00000000e+00, 10.0000000000, 3.2358906087, 0.1735184047
          25, -6.94371711e-01, 1.67630327e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.06760477e-01, 1.56335173e+00, -9.20910457e-01, 0.00000000e+00, -4.14227977e-01, -8.00000000e+00, 0.00000000e+00, -2.24487377e+00, 3.32665260e-01, 3.51768656e-01, 3.21842498e+00, 0.00000000e+00, 10.0000000000, 3.2398641040, 0.1845160160
          26, -7.11774727e-01, 1.64938736e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.89305559e-01, 1.53427574e+00, -9.34398137e-01, 0.00000000e+00, -4.31538852e-01, -8.00000000e+00, 0.00000000e+00, -2.24530519e+00, 3.36324484e-01, 3.52676890e-01, 3.21771781e+00, 0.00000000e+00, 10.0000000000, 3.2424853045, 0.1953862562
          27, -7.29282257e-01, 1.62176023e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.71327497e-01, 1.50448090e+00, -9.47890333e-01, 0.00000000e+00, -4.49685621e-01, -8.00000000e+00, 0.00000000e+00, -2.24561330e+00, 3.39375521e-01, 3.53234931e-01, 3.21714518e+00, 0.00000000e+00, 10.0000000000, 3.2440961977, 0.2197832345
