"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.729466361669476e+04, -1.420583124777146e+00, 3.134091721805941e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.169337779615674e+04, -3.394882874711240e+00, 2.972931213701238e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.718573493834886e+04, -1.458977498731500e+00, 3.100638044183663e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.726929021049183e+04, -1.429526555111969e+00, 3.077552152118750e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.736911472879264e+04, -1.394341148076330e+00, 3.051928160352689e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.742822900222905e+04, -1.373504986701542e+00, 3.028922520284273e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.745653173154480e+04, -1.363529050246799e+00, 3.011611957890551e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.750239234283751e+04, -1.347364441564445e+00, 2.997638576014419e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.757495136105706e+04, -1.321789376103395e+00, 2.983143878121557e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.767095708959554e+04, -1.287949987806020e+00, 2.966917997548207e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.780887483054920e+04, -1.239337763720276e+00, 2.946757555180152e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.792268791780632e+04, -1.199221769480693e+00, 2.925799268867686e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.800006227784335e+04, -1.171949427992194e+00, 2.905123663796342e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.805657658540241e+04, -1.152029683337772e+00, 2.886333380337151e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.805583184429923e+04, -1.152292184167202e+00, 2.870928346317457e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.801476975895974e+04, -1.166765443953425e+00, 2.861668456577375e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.796310557464513e+04, -1.184975653080564e+00, 2.858086111574636e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.793798512670796e+04, -1.193829922558963e+00, 2.857096750457669e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.794653027068310e+04, -1.190817993485214e+00, 2.856426030208428e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.799089545278241e+04, -1.175180482611677e+00, 2.852563472228382e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.805392738214845e+04, -1.152963454884053e+00, 2.845534505714910e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.812343377239438e+04, -1.128464357127216e+00, 2.837019491147793e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.818000221822526e+04, -1.108525530215622e+00, 2.826796760419458e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.823799366244645e+04, -1.088085135368352e+00, 2.815964711883260e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.828719646454275e+04, -1.070742496019615e+00, 2.803665129909967e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.832519966984101e+04, -1.057347407620102e+00, 2.792704538781955e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.836933838198680e+04, -1.041789721198829e+00, 2.782980209747639e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.840376030784883e+04, -1.029656935656539e+00, 2.773589689270677e-01
36, 7.553119487696932e-01, 3.122470829445093e-02, 9.843081453879407e+04, -1.020121060662622e+00, 2.765446411512638e-01
37, 7.528212258843371e-01, 3.142976405537950e-02, 9.842508596554158e+04, -1.022140225744040e+00, 2.758946854963894e-01
38, 7.503310574905883e-01, 3.164143081983112e-02, 9.840070772643808e+04, -1.030732886948617e+00, 2.755038148696325e-01
39, 7.478411455017506e-01, 3.185609753594928e-02, 9.838495122466816e+04, -1.036286622019613e+00, 2.753212580443144e-01
40, 7.453510864781877e-01, 3.206904888102160e-02, 9.839101892902431e+04, -1.034147922517953e+00, 2.752125177368868e-01
41, 7.428605822980964e-01, 3.227672421441647e-02, 9.841621959976791e+04, -1.025265376698774e+00, 2.750095914219367e-01
42, 7.403695243637490e-01, 3.247764954030886e-02, 9.844402134017843e+04, -1.015466025103652e+00, 2.746417810467985e-01
43, 7.378779335327420e-01, 3.267185688896018e-02, 9.848064452194792e+04, -1.002557357178837e+00, 2.741317449959150e-01
44, 7.353858806094327e-01, 3.286003900423798e-02, 9.851210971303711e+04, -9.914667396154150e-01, 2.735143552238130e-01
45, 7.328934417843262e-01, 3.304304175318287e-02, 9.854906559254215e+04, -9.784408048563160e-01, 2.728827683359255e-01
46, 7.304006841248106e-01, 3.322165438995912e-02, 9.858726531206023e+04, -9.649764505797349e-01, 2.721254985761772e-01
