"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 4.29361537e-01, 2.04615075e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.46834757e-01, 2.07982223e+00, 2.13128456e-01, 0.00000000e+00, 2.09838662e-01, -6.00000000e+00, 0.00000000e+00, -1.62571054e+00, 2.04791957e-01, -7.73587826e-01, 3.83940631e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0025294833
           1, 5.69614260e-01, 2.69891844e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25200014e+00, 2.74367439e+00, 2.84380056e-01, 0.00000000e+00, 2.11052787e-01, -6.00000000e+00, 0.00000000e+00, -1.86301128e+00, 3.41055751e-01, 2.80358728e-01, 3.60055925e+00, 0.00000000e+00, 8.0000000000, 2.0020000000, 0.0056910167
           2, 6.64787640e-01, 3.12728965e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45812592e+00, 3.17964727e+00, 3.34255082e-01, 0.00000000e+00, 2.12576292e-01, -6.00000000e+00, 0.00000000e+00, -1.94512447e+00, 4.12465462e-01, 3.76169906e-01, 3.51875866e+00, 0.00000000e+00, 8.0000000000, 2.6309611832, 0.0091153000
           3, 7.04211066e-01, 3.29216373e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54496833e+00, 3.34773901e+00, 3.56228509e-01, 0.00000000e+00, 2.13905238e-01, -6.00000000e+00, 0.00000000e+00, -1.99764456e+00, 4.34075943e-01, 4.06119866e-01, 3.46676842e+00, 0.00000000e+00, 8.0000000000, 2.8918185182, 0.0118490500
           4, 7.08538760e-01, 3.29050404e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55632485e+00, 3.34654078e+00, 3.60705981e-01, 0.00000000e+00, 2.15328336e-01, -6.00000000e+00, 0.00000000e+00, -2.02099964e+00, 4.25589126e-01, 4.00242677e-01, 3.44368000e+00, 0.00000000e+00, 9.0000000000, 3.0720698226, 0.0156397000
           5, 6.96155433e-01, 3.21076994e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53166506e+00, 3.26594906e+00, 3.56724974e-01, 0.00000000e+00, 2.16818846e-01, -6.00000000e+00, 0.00000000e+00, -2.03505488e+00, 4.08670397e-01, 3.84130524e-01, 3.42975329e+00, 0.00000000e+00, 9.0000000000, 3.1557938137, 0.0195131333
           6, 6.77863189e-01, 3.10895285e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49564970e+00, 3.16277767e+00, 3.49175720e-01, 0.00000000e+00, 2.18035854e-01, -6.00000000e+00, 0.00000000e+00, -2.04655763e+00, 3.95616252e-01, 3.71697105e-01, 3.41840965e+00, 0.00000000e+00, 9.0000000000, 3.2072753016, 0.0226643000
           7, 6.58235152e-01, 3.01203909e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45994784e+00, 3.06434314e+00, 3.39785454e-01, 0.00000000e+00, 2.18534731e-01, -6.00000000e+00, 0.00000000e+00, -2.05603042e+00, 3.89611160e-01, 3.66798729e-01, 3.40916784e+00, 0.00000000e+00, 9.0000000000, 3.2500318506, 0.0260743167
           8, 6.38547110e-01, 2.92948212e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42859008e+00, 2.98018045e+00, 3.28834818e-01, 0.00000000e+00, 2.17972694e-01, -6.00000000e+00, 0.00000000e+00, -2.06325287e+00, 3.89459061e-01, 3.68282285e-01, 3.40222272e+00, 0.00000000e+00, 9.0000000000, 3.2856705223, 0.0293630667
           9, 6.18743561e-01, 2.86177401e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40186120e+00, 2.91077323e+00, 3.16217179e-01, 0.00000000e+00, 2.16209791e-01, -6.00000000e+00, 0.00000000e+00, -2.06853556e+00, 3.93195767e-01, 3.74009456e-01, 3.39723167e+00, 0.00000000e+00, 9.0000000000, 3.3131052560, 0.0326216667
